trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
428,False,"{'a': 0.21242906023096228, 'e': 0.031553766569705544}",25,12,11.814172940381557,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
429,False,"{'a': 0.21200462668552364, 'e': 0.031310215581906053}",30,8,37.31255649631123,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.2115810411588744, 'e': 0.031068484159667453}",25,20,9.723613529818822,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,False,"{'a': 0.21115830195667193, 'e': 0.03082855963701081}",20,14,12.23877820268531,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,False,"{'a': 0.21073640738795882, 'e': 0.030590429421823995}",35,20,24.56030890156729,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
433,False,"{'a': 0.21031535576515623, 'e': 0.030354080995656618}",20,6,28.584589100400244,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
434,False,"{'a': 0.20989514540405713, 'e': 0.03011950191351187}",25,15,18.33418923409763,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.2094757746238195, 'e': 0.02988667980363613}",20,6,15.986424763547658,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
436,False,"{'a': 0.20905724174695967, 'e': 0.029655602367302802}",20,13,12.331777838817466,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
437,False,"{'a': 0.20863954509934557, 'e': 0.029426257378594944}",35,25,17.567396624442555,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
438,False,"{'a': 0.20822268301019004, 'e': 0.029198632684184767}",25,10,27.81296434598031,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,False,"{'a': 0.2078066538120442, 'e': 0.028972716203108484}",25,16,16.390142509517954,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,False,"{'a': 0.2073914558407907, 'e': 0.028748495926540052}",25,17,16.85427000660814,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
441,False,"{'a': 0.20697708743563706, 'e': 0.028525959917561017}",25,11,27.344536382483028,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.2065635469391091, 'e': 0.02830509631092748}",30,15,30.88684530544987,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,False,"{'a': 0.20615083269704437, 'e': 0.02808589331283562}",30,8,30.613384483870497,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
444,False,"{'a': 0.20573894305858528, 'e': 0.027868339200681547}",20,2,25.769414576493727,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
445,False,"{'a': 0.20532787637617275, 'e': 0.027652422322823056}",25,15,15.926687180880414,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
446,False,"{'a': 0.20491763100553947, 'e': 0.027438131098334928}",30,22,17.946171616439887,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
447,False,"{'a': 0.20450820530570346, 'e': 0.02722545401676313}",20,13,11.575032116626756,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
448,False,"{'a': 0.20409959763896135, 'e': 0.02701437963787845}",20,6,28.138539694007708,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
449,False,"{'a': 0.2036918063708819, 'e': 0.026804896591424487}",30,0,32.3001001698333,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",1
450,False,"{'a': 0.20328482987029955, 'e': 0.026596993576865957}",25,13,20.76022383385192,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,False,"{'a': 0.20287866650930772, 'e': 0.026390659363134228}",25,13,18.575840197898263,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
452,False,"{'a': 0.20247331466325244, 'e': 0.026185882788371195}",20,8,22.70007880474708,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
453,False,"{'a': 0.20206877271072576, 'e': 0.025982652759669045}",20,14,12.46862344299248,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
454,False,"{'a': 0.20166503903355937, 'e': 0.02578095825281057}",25,12,21.95425548304101,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
